nature,count,avg_fat
Military,7634,6.5252876058172346
Domestic Scheduled Passenger,3753,11.8445512820512821
Unknown,3043,0.4405581756487479
Cargo,1950,2.0531750129065565
International Scheduled Passenger,1320,17.1443768996960486
Domestic Non Scheduled Passenger,753,9.9057104913678619
Ferry/positioning,634,1.5812101910828025
Executive,453,2.1434878587196468
Training,407,1.8660049627791563
Int'l Non Scheduled Passenger,314,26.9554140127388535
Passenger,269,2.9353612167300380
Test,223,2.3333333333333333
Private,184,1.4510869565217391
Illegal Flight,179,1.3086419753086420
Agricultural,167,0.98136645962732919255
Scheduled Passenger,144,0.24305555555555555556
Survey/research,102,2.4200000000000000
Ambulance,86,1.8023255813953488
Fire fighting,82,1.5679012345679012
Parachuting,71,1.5492957746478873
Demonstration,47,4.6382978723404255
Non Scheduled Passenger,42,1.3571428571428571
Official state flight,39,9.3076923076923077
"Aerial Work (Calibration, Photo)",23,2.3913043478260870
,1,0.00000000000000000000
