name,heightCM,weightKG,bustCM,waistCM,hipsCM,hair,breasts,ethnicity,born,month,year,mateAge,first,avgDist
Marilyn Monroe,165,54,91,61,86,0,0,0,-1375459200000,11,1953,27,"First and only ""Sweetheart of the Month"".",0.278
Margie Harrison,164,45,91,66,94,1,0,0,-1204300800000,0,1954,22,First ever Playmate.,0.375
Marilyn Waltz,163,51,91,58,86,0,0,0,-1204128000000,1,1954,22,First to be chosen three times.,0.179
Dolores Del Monte,168,54,86,61,89,2,0,0,-1192809600000,2,1954,21,,0.119
Marilyn Waltz,163,51,91,58,86,0,0,0,-1204128000000,3,1954,22,First to be chosen three times.,0.179
Joanne Arnold,165,54,91,58,97,2,0,0,-1222963200000,4,1954,23,,0.225
Margie Harrison,164,45,91,66,94,1,0,0,-1204300800000,5,1954,22,First ever Playmate.,0.375
Neva Gilbert,168,59,91,66,94,0,0,0,-1272816000000,6,1954,24,,0.236
Arline Hunter,164,52,97,61,89,3,0,0,-1200585600000,7,1954,22,,0.497
Jackie Rainbow,165,45,86,61,94,2,0,0,-1154102400000,8,1954,21,,0.220
Madeline Castle,164,48,89,58,89,2,0,0,-1138723200000,9,1954,20,,0.190
Diane Hunter,166,57,86,61,89,2,0,0,-1024588800000,10,1954,17,,0.310
Terry Ryan,166,55,91,61,91,0,0,0,-1138723200000,11,1954,21,,0.140
Bettie Page,166,58,91,58,94,1,0,0,-1473609600000,0,1955,31,,0.563
Jayne Mansfield,168,48,102,53,81,0,0,0,-1158249600000,1,1955,21,,0.508
Marilyn Waltz,163,51,91,58,86,0,0,0,-1204128000000,3,1955,23,First to be chosen three times.,0.181
Marguerite Empey,160,48,99,58,94,2,0,0,-1181059200000,4,1955,22,,0.434
Eve Meyer,168,49,99,64,89,0,0,0,-1295452800000,5,1955,26,,0.408
Janet Pilgrim,168,52,91,61,91,0,0,0,-1121961600000,6,1955,21,First centerfold (two-page).,0.120
Pat Lawler,165,50,97,56,91,1,0,0,-1262534400000,7,1955,25,,0.440
Anne Fleming,162,47,94,58,91,1,0,0,-1238428800000,8,1955,24,,0.394
Jean Moorehead,165,50,89,58,89,0,0,0,-1101571200000,9,1955,20,,0.165
Barbara Cameron,167,46,84,53,84,2,0,0,-1255449600000,10,1955,25,,0.303
Janet Pilgrim,168,52,91,61,91,0,0,0,-1121961600000,11,1955,21,First centerfold (two-page).,0.120
Lynn Turner,164,53,97,61,94,2,0,0,-1075651200000,0,1956,20,,0.345
Marguerite Empey,160,48,99,58,94,2,0,0,-1181059200000,1,1956,23,,0.435
Marian Stafford,160,45,86,53,86,0,0,0,-1227542400000,2,1956,25,First fold-out centerfold (three-page).,0.347
Rusty Fisher,166,54,91,56,89,2,0,0,-1096387200000,3,1956,20,,0.187
Marion Scott,168,55,91,58,89,0,0,0,-1087401600000,4,1956,20,First foreign born Playmate.,0.159
