dep,dep_lat,dep_lng,crash,crash_lat,crash_lng
"Saint-Denis-Gillot Airport, Réunion (RUN/FMEE), Reunion",-20.8918777,55.5121669,near Saint Denis (   Reunion),-20.8906596,55.4550536
"Kodiak NAS, AK, United States of America",57.79000000000001,-152.4072221,"between Kodiak, AK and Anchorage, AK (   United States of America)",57.79000000000001,-152.4072221
"Honolulu International Airport, HI (HNL/PHNL), United States of America",21.3245132,-157.9250736,"Vancouver International Airport, BC (YVR) (   Canada)",49.1966913,-123.1815123
"Acapulco-Alvarez International Airport (ACA/MMAA), Mexico",16.762312,-99.755607,39 km (24.4 mls) from  Oaxaca (   Mexico),17.0731842,-96.7265889
"Baltimore Airport, MD, United States of America",39.1774042,-76.6683922,"24 km (15 mls) ESE of Barnesville, OH (   United States of America)",39.9881261,-81.1764961
"Malta-Luqa Airport (MLA/LMML), Malta",35.8541135,14.4832795,"3,5 km (2.2 mls) S of Malta-Luqa Airport (MLA) (   Malta)",35.8541135,14.4832795
"Wake Island Airport (AWK/PAWK), U.S. Minor Outlying Islands",19.279959,166.647706,24 km (15 mls) SW of Tokyo (   Japan),35.6761919,139.6503106
"Malden AAF, MO (MAW/KMAW), United States of America",36.600555,-89.992226,"3 km (1.9 mls) NE of Zelma, MO (   United States of America)",37.1447743,-90.0762123
"Mexico City International Airport (MEX/MMMX), Mexico",19.4360762,-99.07190829999999,Poza Rica (   Mexico),20.5270592,-97.4629119
"Athens-Ellinikon International Airport (ATH/LGAT), Greece",37.9356467,23.9484156,"2,2 km (1.4 mls) SE off  Botricello (   Italy)",38.9348164,16.8554977
"Sverdlovsk-Koltsovo Airport (SVX/USSS), Russia",56.7447746,60.8029485,Sverdlovsk-Koltsovo Airport (SVX) (   Russia),56.7447746,60.8029485
"Rockhampton Airport, QLD (ROK/YBRK), Australia",-23.3796336,150.476056,"12 km (7.5 mls) off  Mackay, QLD (   Australia)",-21.1424956,149.1821469
"Moskva-Vnukovo Airport (VKO/UUWW), Russia",55.59964799999999,37.2712341,"near Bogoroditsk, Tula Region (   Russia)",53.7709957,38.1276312
"Cherbourg-Maupertus Airport (CER/LFRC), France",49.6469671,-1.4767304,"Les Prevosts, Guernsey (   United Kingdom)",49.4531095,-2.538749
"Grahamstown (FAGT), South Africa",-33.2841509,26.493148,11 km (6.9 mls) N of Seymour (   South Africa),-32.5551758,26.7525915
"Honolulu International Airport, HI (HNL/PHNL), United States of America",21.3245132,-157.9250736,"1120 km (700 mls) W off  San Fransisco, CA (   Pacific Ocean)",37.7749295,-122.4194155
"Carolina Airport, MA (CLN/SBCI), Brazil",-7.3237245,-47.4636033,"ca 200 km S of Belém, PA (   Brazil)",-1.4557292,-48.4901785
"Wake Island Airport (AWK/PAWK), U.S. Minor Outlying Islands",19.279959,166.647706,"4,5 km (2.8 mls) off  Wake Island AFB (AWK) (   U.S. Minor Outlying Islands)",19.279959,166.647706
"Manchester International Airport (MAN/EGCC), United Kingdom",53.3588026,-2.2727303,near Frankfurt-Main (   Germany),50.1109221,8.6821267
"Pereira Airport (PEI/SKPE), Colombia",4.8152099,-75.73631619999999,Bogotá-Eldorado Airport (BOG) (   Colombia),4.7014128,-74.1444969
"Dnepropetrovsk Airport (DNK/UKDD), Ukraine",48.36791969999999,35.0942491,"1,7 km (1.1 mls) from  Armavir (   Russia)",44.9873603,41.1111326
"Athens-Ellinikon International Airport (ATH/LGAT), Greece",37.9356467,23.9484156,19 km (11.9 mls) SE of Kozani-Philippos Airport (KZI) (   Greece),40.2893018,21.8406727
