crew_occ,crew_fat,passenger_occ,passenger_fat,ground
3,0,0,0,
5,0,29,0,
5,4,12,10,
3,3,19,19,
3,0,0,0,
,,,,
,,,,
,,,,
3,3,16,16,
6,6,23,23,
4,0,2,0,
,,,,
2,2,6,2,
3,0,3,0,
7,7,30,30,
6,2,0,0,
,0,,0,
6,6,79,79,
2,2,3,1,
0,0,0,0,
0,0,0,0,
,,,,
2,2,0,0,
8,8,0,0,
,,,,
4,4,3,3,
3,3,8,8,
18,18,212,212,
,0,,0,
0,0,0,0,
3,1,0,0,
,,,,
3,3,0,0,
4,0,30,0,
4,3,21,13,
,,,,
0,0,0,0,
7,7,7,7,
,,,,
3,1,0,0,
4,4,17,17,
3,2,0,0,
2,0,0,0,
2,0,0,0,
2,0,0,0,
4,0,0,0,
,,,,
4,0,0,0,
,0,,0,
,,,,
4,0,18,0,
4,4,2,2,
0,0,0,0,
,,,,
,0,,0,
6,0,0,0,
4,0,7,0,
1,0,0,0,
2,1,0,0,
3,1,19,0,
,0,18,0,
9,9,44,44,
4,4,0,0,
5,0,27,0,
,,,,
3,2,0,0,
4,3,16,8,
,,,,
,,,,
4,4,20,20,
5,1,0,0,
,0,,0,
,,,,
2,0,0,0,
4,0,10,3,
3,0,0,0,
5,0,0,0,
,,,,
2,2,0,0,
,,,,
3,3,17,17,
4,4,9,8,
3,3,0,0,
,0,,0,
,,,,
,,,,
,0,,0,
8,8,0,0,
3,3,26,26,
,,,,
3,3,18,18,
,0,,0,
8,0,0,0,
2,2,12,12,
,,,,
,0,,0,
4,0,0,0,
4,0,0,0,
,0,,0,
,,,,
4,0,12,0,
,,,,
,,,,
4,4,0,0,
,,,,
4,0,0,0,
2,0,6,0,
,0,,0,
2,2,6,3,
,,,,
,0,,0,
5,5,11,11,
5,5,28,28,
,,,,
9,7,0,0,
,0,,0,
3,1,16,1,
5,5,34,34,
7,4,0,0,
,,,,
4,4,11,2,
2,0,0,0,
,,,,
5,3,3,0,
4,3,4,0,
,0,,0,
3,3,0,0,
,0,,0,
4,4,0,0,
5,5,0,0,
,,,,
4,4,0,0,
2,2,0,0,
4,0,38,0,
1,1,6,2,
4,1,23,0,
,0,,0,
,2,,0,
12,7,0,0,
9,9,0,0,
4,0,0,0,
4,0,8,0,
,0,,0,
,,,,
,,,,
6,0,0,0,
,0,,0,
5,5,0,0,
3,3,36,36,
0,0,0,0,
,0,,0,
2,2,5,0,
6,6,0,0,
,,,,
,,,,
6,6,0,0,
3,3,2,2,
,,,,
,0,,0,
3,3,11,11,
3,3,7,7,
,,,,
,,,,
4,4,0,0,
,0,,0,
,,,,
,,,,
5,0,11,2,
3,3,0,0,
4,0,41,0,
7,7,0,0,
2,0,0,0,
,0,,0,
4,1,0,0,
,0,,0,
,,,,
,,,,
,,,,
4,4,12,12,
,6,,1,
0,0,0,0,
,,,,
,,,,
5,5,9,9,
3,0,26,1,
,,,,
,,,,
,0,,0,
2,0,0,0,
,,,,
,,,,
,,,,
,,,,
12,1,0,0,
4,4,5,5,
4,0,9,0,2
,0,,0,
,,,,
5,5,0,0,
4,1,6,0,
4,4,13,13,
,0,,0,
4,0,30,0,
5,5,23,21,
4,0,0,0,
4,4,6,6,3
3,0,0,0,
,0,,0,
4,0,49,0,
6,6,31,31,
,0,0,0,
,,,,
8,0,81,0,
,,,,
,,,,
3,3,11,11,
,,,,
3,3,4,4,
,,,,
,,,,
,,,,
2,2,12,12,
4,3,8,1,
,,,,
3,0,0,0,
7,5,0,0,
3,0,0,0,
4,4,6,6,
3,3,5,5,
,,,,
,0,,0,
2,2,0,0,
,,,,
7,6,0,0,
,,,,
5,0,22,0,
6,6,30,30,
,,,,
,,,,
4,4,0,0,
4,4,6,6,
5,4,0,0,
,,,,
3,0,17,0,
2,2,4,4,
,,,,
,0,,0,
,,,,
4,0,24,0,
,,,,
0,0,0,0,
,,,,
,,,,
3,3,18,14,
,,,,
,0,,0,
3,3,20,20,
3,3,0,0,
4,3,36,23,
3,3,0,0,
,,,,
4,4,19,19,
3,0,0,0,
10,10,0,0,
2,1,8,0,
,,,,
,0,,0,
,,,,
3,3,0,0,
,,,,
5,0,0,0,
,,,,
,0,,0,
,,,,
4,0,30,0,
,0,0,0,
,,,,
5,0,0,0,
,,,,
5,2,0,0,
6,4,0,0,
,,,,
3,3,0,0,
3,3,40,33,
4,4,13,13,
2,2,0,0,
,0,,0,
7,7,1,1,
,0,0,0,
,,,,
,,,,
0,0,0,0,
0,0,0,0,
4,0,16,0,
6,0,0,0,
7,0,0,0,
,4,,1,
,,,,
2,2,1,1,
10,10,0,0,
4,4,24,24,
3,3,20,20,
3,0,21,0,
4,0,15,0,
,0,0,0,
0,0,0,0,
8,2,0,0,
4,4,32,0,
3,0,15,0,
