"loc","loc_lat","loc_lng","count"
Havana-José Martí International Airport (HAV) (   Cuba),"23.08548",-82.3918,102
"Miami International Airport, FL (MIA) (   United States of America)","25.81247",-80.24239,63
"New York-John F. Kennedy International Airport, NY (JFK) (   United States of America)","40.65009",-73.75436,32
Kinshasa-N'Djili Airport (FIH) (   Congo (Democratic Republic)),-4.37658,"15.25392",30
Waalhaven (   Netherlands),"51.88372","4.42768",29
"Chicago-O'Hare International Airport, IL (ORD) (   United States of America)","41.96638",-87.84859,28
Bogotá-Eldorado Airport (BOG) (   Colombia),"4.73581",-74.12336,28
Havana (   Cuba),"23.13212",-82.36749,24
"São Paulo-Congonhas Airport, SP (CGH) (   Brazil)",-20.50904,-43.85437,24
"Rio de Janeiro-Santos Dumont Airport, RJ (SDU) (   Brazil)",-22.80815,-43.35549,24
London-Heathrow Airport (LHR) (   United Kingdom),"51.47247",-0.45288,23
"Ford Island NAS, Pearl Harbor, HI (   United States of America)","21.35003",-157.96445,23
Tehran-Mehrabad Airport (THR) (   Iran),"30.37739","48.22147",21
Zürich-Kloten Airport (ZRH) (   Switzerland),"47.45254","8.58056",21
Hong Kong-Kai Tak International Airport (HKG) (   Hong Kong),"22.31442","114.21013",21
"Washington-Dulles International Airport, DC (IAD) (   United States of America)","38.94157",-77.06613,21
Khartoum-Civil Airport (KRT) (   Sudan),"15.60867","32.53578",20
"Boston-Logan International Airport, MA (BOS) (   United States of America)","42.35625",-71.05151,20
"New York-La Guardia Airport, NY (LGA) (   United States of America)","40.76952",-73.88675,20
Malta-Luqa Airport (MLA) (   Malta),"46.95322","13.50453",20
"Sedalia Army Air Field, MO (SZL) (   United States of America)","38.71078",-93.22806,19
Paris-Orly Airport (ORY) (   France),"45.54335","4.40749",19
"Anchorage International Airport, AK (ANC) (   United States of America)","61.17391",-149.94619,19
near Den Haag (   Netherlands),"52.08409","4.31732",19
Tripoli International Airport (TIP) (   Libya),"32.89534","13.18105",19
"San Francisco International Airport, CA (SFO) (   United States of America)","37.77713",-122.41964,19
Madrid-Barajas Airport (MAD) (   Spain),"40.41455",-3.70844,19
Kabul Airport (KBL) (   Afghanistan),"34.53314","69.10224",18
Moskva-Vnukovo Airport (VKO) (   Russia),"55.64577","37.27393",18
"Buenos Aires-Jorge Newbery Airport, BA (AEP) (   Argentina)",-37.97422,-57.62839,18
Cairo International Airport (CAI) (   Egypt),"30.11487","31.37892",18
Kunming-Wujiaba Airfield (KMG) (   China),"25.06452","102.69877",18
Paris-Charles de Gaulle Airport (CDG) (   France),"48.87335","2.29439",17
