count,year,operator
1,1919,Royal Air Force - RAF
1,1919,Caproni
4,1920,Handley Page Transport
3,1921,SNETA - Syndicat National d'Etude du Transport Aérienne
1,1921,Handley Page Transport
1,1921,Handley Page Indo-Burmese Transport
1,1921,Caproni
1,1921,Aeromarine Airways
1,1922,Handley Page Transport
1,1922,Chinese Government
1,1922,CGEA - Compagnie des Grands Express Aériens
1,1923,Handley Page Transport
1,1923,Compagnie Aérienne Française - CAF
4,1923,Air Union (France)
2,1923,Aeromarine Airways
1,1924,SGTA - Société Générale des Transports Aériens
2,1924,Air Union (France)
2,1925,Air Union (France)
1,1926,Imperial Airways
1,1926,Deutsche Lufthansa
2,1926,Air Union
1,1927,SGTA - Société Générale des Transports Aériens
1,1927,KLM Royal Dutch Airlines
1,1928,Texaco
1,1928,Sunbeam Air Transport Co.
1,1928,Stout Air Services
1,1928,Spokane Airways
1,1928,SGTA - Société Générale des Transports Aériens
1,1928,KLM Royal Dutch Airlines
1,1928,Imperial Airways
1,1928,Ford Air Freight Lines
4,1928,Deutsche Lufthansa
1,1928,British Columbia Airways
1,1928,Air Union (France)
3,1929,Western Air Express
1,1929,Vickers-Armstrongs Ltd
1,1929,United States Army Air Corps - USAAC
1,1929,Transcontinental Air Transport - TAT
1,1929,Stout Air Services
1,1929,Società Anonima Navigazione Aerea - SANA
2,1929,SGTA - Société Générale des Transports Aériens
1,1929,Sabena
1,1929,Pan American World Airways (Pan Am)
1,1929,Northwest Airways
1,1929,Maddux Airlines
3,1929,Imperial Airways
1,1929,Ford Motor Company
1,1929,Fokker Aircraft Corporation of America
4,1929,Deutsche Lufthansa
1,1929,Colonial Western Airlines
1,1929,Air Union (France)
1,1929,AB Aerotransport
2,1930,Western Air Express
4,1930,Universal Airlines
1,1930,United States Marine Corps
1,1930,Tri-Motor Safety Airways
1,1930,Syndicato Condor
1,1930,Soviet Air Force
1,1930,Southern Air Fast Express
1,1930,Società Anonima Navigazione Aerea - SANA
1,1930,Shell Oil
1,1930,SGTA - Société Générale des Transports Aériens
1,1930,Pittsburgh Airways
1,1930,Pan American World Airways (Pan Am)
1,1930,Northwest Airways
1,1930,Northern Airlines
1,1930,"New York, Rio, and Buenos Aires Line - NYRBA"
1,1930,Maddux Airlines
2,1930,Imperial Airways
1,1930,Fuerza Aérea de Chile
1,1930,Ford Motor Company
1,1930,Ellyou Goldfields Development Corp.
1,1930,D. Seitz
1,1930,Curtiss-Wright Flying Service
1,1930,Curtiss
1,1930,CSA Ceskoslovenské Aerolinie
1,1930,Colonial Air Transport
1,1930,Air Union (France)
4,1931,Transcontinental & Western Air - TWA
1,1931,Prince V. Bibescu
2,1931,Pan American Grace Airways (Panagra)
2,1931,National Air Transport
1,1931,Mexicana de Aviación
1,1931,KLM Royal Dutch Airlines
3,1931,Imperial Airways
1,1931,Ford Motor Company
1,1931,Deutsche Lufthansa
1,1931,American Airways
1,1931,AB Aerotransport
1,1932,Western Air Express
1,1932,Transcontinental & Western Air - TWA
1,1932,Transamerican Airlines
1,1932,Skyway
1,1932,Pan American Grace Airways (Panagra)
1,1932,Pan American Airways (Pan Am)
1,1932,Lloyd Aéreo Boliviano - LAB
1,1932,Dobrolet
1,1932,Deutsche Lufthansa
1,1932,Boeing Air Transport
2,1932,American Airways
1,1932,Air Union (France)
1,1932,AB Aerotransport
1,1933,United States Marine Corps
2,1933,Transcontinental & Western Air - TWA
1,1933,Società Anonima Navigazione Aerea - SANA
1,1933,Reichsverband der Deutschen Luftfahrt-Industrie (RDL)
1,1933,Plane Speaker Corporation
1,1933,Pacific Air Transport
1,1933,Kalinin Design Bureau
1,1933,J.H. O'Brien
1,1933,Imperial Airways
1,1933,F. Free
2,1933,Eastern Air Transport
1,1933,Dobrolet
1,1933,Air Union (France)
1,1933,Air France
1,1933,Aerovías Centrales
1,1934,United States Army Air Corps - USAAC
1,1934,TACA de Honduras
1,1934,Swissair
1,1934,R. Loomis
1,1934,Qantas
1,1934,Ptarmigan Airlines
2,1934,Pan American Grace Airways (Panagra)
1,1934,National Aviation Displays
1,1934,Mulzer Flying Service
1,1934,Morgan Air Lines
1,1934,Mexicana de Aviación
1,1934,KLM Royal Dutch Airlines
1,1934,Holyman's Airways
1,1934,Hanford's Tri-State Airlines
1,1934,E.L. Fulton
1,1934,Dobrolet
1,1934,Deutsche Reichsbahn-Gesellschaft
1,1934,Deutsche Lufthansa
1,1934,Cubana de Aviación
3,1934,American Airways
2,1934,Air France
1,1935,Zhang Xueliang
1,1935,V.N. Johns
1,1935,Tupolev Design Bureau
2,1935,Transcontinental & Western Air - TWA
1,1935,TACA de Honduras
1,1935,Syndicato Condor
1,1935,Standard Oil Company
1,1935,Servicio Aéreo Colombiano - SACO
1,1935,SCADTA - Sociedad Colombo Alemana de Transporte Aéreo
2,1935,Sabena
1,1935,private
1,1935,Pan American Grace Airways (Panagra)
1,1935,Pan American Airways (Pan Am)
1,1935,Luftwaffe
1,1935,Knowles Flying Service
3,1935,KLM Royal Dutch Airlines
4,1935,Imperial Airways
1,1935,Holyman's Airways
1,1935,Eastern Air Transport
2,1935,Deutsche Lufthansa
1,1935,Deruluft
1,1935,Chamberlin Flying Service
1,1935,American Airways
2,1935,Ala Littoria
1,1935,Air France
1,1936,United States Army Air Corps - USAAC
2,1936,Transcontinental & Western Air - TWA
1,1936,Swissair
1,1936,Royal Air Force - RAF
1,1936,Reichsluftfahrtministerium - RLM
1,1936,Pan American Grace Airways (Panagra)
1,1936,Pan American Airways (Pan Am)
1,1936,Österreichische Luftverkehrs AG - ÖLAG
1,1936,Mexicana de Aviación
2,1936,Luftwaffe
1,1936,Lloyd Aéreo Boliviano - LAB
1,1936,LAN Chile
1,1936,KLM Royal Dutch Airlines
3,1936,Imperial Airways
3,1936,HISMA - Sociedad Hispano-Marroqui de Transportes
1,1936,Fuerza Aérea Colombiana
1,1936,E. Saltzgeber
7,1936,Deutsche Lufthansa
1,1936,Det Norske Luftfartselskap - DNL
1,1936,Cóndor Peruana de Aviación
1,1936,CLS - Ceskoslovenská Letecká Spolecnost
4,1936,China National Aviation Corporation - CNAC
1,1936,Chamberlin Flying Service
2,1936,British Airways Ltd.
2,1936,American Airlines
1,1936,Ala Littoria
1,1936,Air France
1,1936,AB Aerotransport
1,1937,United States Army Air Corps - USAAC
2,1937,United Airlines
1,1937,Transcontinental & Western Air - TWA
1,1937,TACA Guatemala
1,1937,Star Air Service
1,1937,South African Airways - SAA
2,1937,Sabena
1,1937,Republic Oil Company
2,1937,Pan American Grace Airways (Panagra)
1,1937,O.K. Southwick
2,1937,Luftwaffe
1,1937,LOT Polskie Linie Lotnicze
1,1937,Lloyd Aéreo Boliviano - LAB
3,1937,LAPE - Líneas Aéreas Postales Españolas
3,1937,KLM Royal Dutch Airlines
5,1937,Imperial Airways
7,1937,HISMA - Sociedad Hispano-Marroqui de Transportes
1,1937,Fuerza Aérea de Chile
1,1937,Eurasia
2,1937,Eastern Air Lines
1,1937,Deutsche Versuchsanstalt für Luftfahrt (DVL)
1,1937,Deutsche Lufthansa
1,1937,DePonti Aviation Company
1,1937,China National Aviation Corporation - CNAC
1,1937,Charles H. Babb
2,1937,American Airlines
1,1937,Ala Littoria
2,1937,Air France
1,1937,"Aeroflot, International Civil Aviation Directorate"
3,1938,United States Navy
1,1938,United States Army Air Corps - USAAC
2,1938,United Airlines
1,1938,Transcontinental & Western Air - TWA
1,1938,Trans-Canada Air Lines - TCAL
3,1938,Syndicato Condor
1,1938,SEDTA - Sociedad Ecuatoriana de Transportes Aéreos
1,1938,SCADTA - Sociedad Colombo Alemana de Transporte Aéreo
1,1938,Sabena
1,1938,Royal Air Force - RAF
1,1938,Polyarnaya Aviatsiya
1,1938,Pan American Grace Airways (Panagra)
4,1938,Pan American Airways (Pan Am)
3,1938,Northwest Airlines
1,1938,Max Conrad
2,1938,Malert - Magyar Légiforgalmi Rt.
1,1938,Macchi
1,1938,Luftwaffe
2,1938,LOT Polskie Linie Lotnicze
2,1938,LAN Chile
2,1938,KLM Royal Dutch Airlines
1,1938,Junkers Flugzeug & Motorenwerke
1,1938,Johnson Flying Service
1,1938,Jersey Airways
1,1938,Japan Air Transport
3,1938,Imperial Airways
1,1938,H.W. Musleh
1,1938,Eurasia
1,1938,Eastern Air Lines
1,1938,Deutsche Lufthansa Sucursal Perú
6,1938,Deutsche Lufthansa
2,1938,Dai Nippon Koku KK (Imperial Japanese Airways)
1,1938,CSA Ceskoslovenské Aerolinie
1,1938,China National Aviation Corporation - CNAC
1,1938,British Airways Ltd.
2,1938,Aviación Nacional
1,1938,Australian National Airways - ANA
6,1938,Ala Littoria
3,1938,Air France
1,1939,Yukon Southern Air Transport
1,1939,Venezuelan Government
1,1939,United States Navy
1,1939,TACA Guatemala
1,1939,Syndicato Condor
1,1939,Swissair
1,1939,South American Gulf Oil Company
1,1939,SCADTA - Sociedad Colombo Alemana de Transporte Aéreo
1,1939,Sabena
7,1939,Royal Air Force - RAF
1,1939,Reichsluftfahrtministerium - RLM
2,1939,Pan American Airways (Pan Am)
1,1939,Northwest Airlines
5,1939,Luftwaffe
1,1939,KLM Royal Dutch Airlines
7,1939,Imperial Airways
2,1939,Iberia
1,1939,Guinea Airways Pty Ltd.
1,1939,Fuerza Aérea Argentina - FAA
2,1939,Eurasia
2,1939,Ejército del Aire
4,1939,Deutsche Lufthansa
2,1939,Dai Nippon Koku KK (Imperial Japanese Airways)
1,1939,Chinese Government
1,1939,British Airways Ltd.
1,1939,Braniff International Airways
1,1939,Boeing
2,1939,Aviación Nacional
1,1939,Australian National Airways - ANA
4,1939,Ala Littoria
2,1939,Air France
1,1940,W.R. Carpenter
2,1940,White Pass Airways
1,1940,VASP - Viação Aérea São Paulo
1,1940,United States Army Air Corps - USAAC
2,1940,United Airlines
2,1940,Transcontinental & Western Air - TWA
1,1940,TACA de Nicaragua
2,1940,TACA de Costa Rica
1,1940,Suomen Ilmavoimat
1,1940,Soviet Air Force
1,1940,South African Air Force - SAAF
1,1940,Scottish Aviation
1,1940,SANA - Sociedad Argentina de Navegación Aérea
2,1940,Sabena
1,1940,Royal Navy - Fleet Air Arm (FAA)
12,1940,Royal Air Force - RAF
2,1940,Railway Air Services
1,1940,Pennsylvania-Central Airlines
2,1940,Nucleo Comunicazioni Avio Linee
1,1940,Mexicana de Aviación
197,1940,Luftwaffe
1,1940,Luchtvaartafdeling (LVA)
2,1940,LOT Polskie Linie Lotnicze
1,1940,Lloyd Aéreo Boliviano - LAB
2,1940,LARES - Liniile Aeriene Române Exploatate de Stat
1,1940,KNILM-Kon. Nederlandsch-Indische Luchtvaart Maatschappij
9,1940,KLM Royal Dutch Airlines
4,1940,Imperial Airways
1,1940,Iberia
2,1940,Eurasia
1,1940,Douglas Aircraft Company
3,1940,Deutsche Lufthansa
1,1940,Dai Nippon Koku KK (Imperial Japanese Airways)
1,1940,China National Aviation Corporation - CNAC
1,1940,Central Aircraft Manufacturing Company - CAMCO
1,1940,CAUSA - Compañia Aeronautica Uruguaya SA
8,1940,British Overseas Airways Corporation - BOAC
1,1940,British Airways Ltd.
1,1940,Avio Linee Italiane - ALI
2,1940,Ala Littoria
6,1940,Air France
1,1940,Aero OY
1,1941,United States Treasury
33,1941,United States Navy
3,1941,United States Army Air Force - USAAF
1,1941,United States Army Air Corps - USAAC
1,1941,United Airlines
1,1941,Transcontinental & Western Air - TWA
1,1941,Trans-Canada Air Lines - TCAL
1,1941,TACA de Nicaragua
1,1941,Suomen Ilmavoimat
1,1941,Stephens Aviation
3,1941,Soviet Air Force
2,1941,South African Airways - SAA
4,1941,South African Air Force - SAAF
3,1941,Royal Australian Air Force - RAAF
17,1941,Royal Air Force - RAF
1,1941,Reichsluftfahrtministerium - RLM
1,1941,Pan American Grace Airways (Panagra)
2,1941,Pan American Airways (Pan Am)
1,1941,Panair do Brasil
1,1941,Northwest Airlines
1,1941,ML-KNIL (Royal Netherlands East Indies Army Air Force)
