"year","total","ground","crashes"
1919,15,,2
1920,4,,4
1921,0,,7
1922,24,,3
1923,11,,8
1924,0,,3
1925,3,,2
1926,11,,4
1927,3,,2
1928,25,,14
1929,59,1,22
1930,47,,21
1931,9,,16
1932,16,,10
1933,48,1,16
1934,75,,24
1935,128,11,33
1936,146,,42
1937,180,,43
1938,374,2,66
1939,175,1,54
1940,314,,149
1941,438,7,143
1942,1121,7,314
1943,2204,1,710
1944,3091,6,1452
1945,2688,23,1396
1946,1484,3,365
1947,1551,13,278
1948,1533,2,288
1949,1443,13,236
1950,1665,10,255
1951,1487,6,278
1952,1403,22,228
1953,1460,13,233
1954,1218,3,229
1955,1141,8,197
1956,1273,2,195
1957,1439,21,217
1958,1655,7,225
1959,1303,29,206
1960,1843,43,214
1961,1732,10,217
1962,2281,9,229
1963,1508,100,178
1964,1604,3,227
1965,1995,39,248
1966,1896,114,222
1967,1869,74,276
1968,2133,8,300
1969,2230,111,384
1970,2010,15,346
1971,1890,,274
1972,2968,34,316
1973,2627,26,285
1974,2447,8,243
1975,1578,16,259
1976,2085,113,217
1977,2207,12,281
1978,1650,29,256
1979,2042,41,257
1980,1922,10,248
1981,1271,,218
1982,1654,13,216
1983,1725,36,232
1984,954,53,205
1985,2730,2,218
1986,1427,17,201
1987,1773,51,245
1988,2126,17,219
1989,2217,63,257
1990,1174,31,249
1991,1826,6,239
1992,2007,64,256
1993,1525,14,270
1994,1719,45,248
1995,1628,6,250
1996,2318,292,235
1997,1563,47,233
1998,1554,29,227
1999,955,26,237
2000,1432,33,214
2001,1363,2644,223
2002,1266,82,220
2003,1106,24,217
2004,674,4,201
2005,1290,62,217
2006,1194,4,223
2007,851,60,222
2008,741,50,210
2009,1010,6,201
2010,1038,6,185
2011,699,14,182
2012,640,51,165
2013,355,,204
2014,1214,6,220
2015,811,29,215
2016,566,1,196
2017,281,35,173
2018,961,2,196
