"year","total","ground","crashes"
1929,1,,1
1930,3,,3
1933,,,1
1934,0,,1
1936,20,,5
1937,9,,4
1938,14,,6
1939,25,,11
1940,101,,82
1941,211,7,82
1942,670,6,234
1943,1821,1,639
1944,2687,6,1365
1945,2344,16,1319
1946,622,,208
1947,453,5,108
1948,199,2,94
1949,287,2,77
1950,541,2,126
1951,524,,134
1952,610,5,119
1953,488,11,106
1954,493,2,112
1955,385,4,91
1956,412,,82
1957,462,3,95
1958,393,1,68
1959,221,10,71
1960,296,36,62
1961,291,3,70
1962,455,2,83
1963,241,5,57
1964,503,3,85
1965,707,37,103
1966,337,5,81
1967,440,45,112
1968,674,1,111
1969,437,5,95
1970,403,3,64
1971,355,,54
1972,364,25,61
1973,215,,45
1974,196,,46
1975,344,,46
1976,218,,25
1977,337,,45
1978,275,18,45
1979,136,,34
1980,429,6,51
1981,271,,25
1982,408,,35
1983,255,5,37
1984,173,,34
1985,192,,36
1986,397,,38
1987,366,3,57
1988,301,5,34
1989,293,2,36
1990,322,,36
1991,538,2,39
1992,411,21,47
1993,177,8,24
1994,124,23,21
1995,351,,29
1996,261,,24
1997,237,45,28
1998,173,,23
1999,185,4,25
2000,223,,24
2001,142,6,22
2002,71,3,22
2003,356,23,23
2004,61,,19
2005,163,12,14
2006,250,,34
2007,16,,8
2008,57,,15
2009,196,4,35
2010,59,1,17
2011,142,,17
2012,96,4,20
2013,26,,11
2014,157,,20
2015,202,20,25
2016,202,,24
2017,175,,14
2018,366,,18
