"year","crashes","total","ground"
1919,2,15,
1920,4,4,
1921,7,0,
1922,3,24,
1923,8,11,
1924,3,0,
1925,2,3,
1926,4,11,
1927,2,3,
1928,14,25,
1929,21,58,1
1930,18,44,
1931,16,9,
1932,10,16,
1933,15,48,1
1934,23,75,
1935,33,128,11
1936,37,126,
1937,39,171,
1938,60,360,2
1939,43,150,1
1940,67,213,
1941,61,227,
1942,80,451,1
1943,71,383,
1944,87,404,
1945,77,344,7
1946,157,862,3
1947,170,1098,8
1948,194,1334,
1949,159,1156,11
1950,129,1124,8
1951,144,963,6
1952,109,793,17
1953,127,972,2
1954,117,725,1
1955,106,756,4
1956,113,861,2
1957,122,977,18
1958,157,1262,6
1959,135,1082,19
1960,152,1547,7
1961,147,1441,7
1962,146,1826,7
1963,121,1267,95
1964,142,1101,
1965,145,1288,2
1966,141,1559,109
1967,164,1429,29
1968,189,1459,7
1969,289,1793,106
1970,282,1607,12
1971,220,1535,
1972,255,2604,9
1973,240,2412,26
1974,197,2251,8
1975,213,1234,16
1976,192,1867,113
1977,236,1870,12
1978,211,1375,11
1979,223,1906,41
1980,197,1493,4
1981,193,1000,
1982,181,1246,13
1983,195,1470,31
1984,171,781,53
1985,182,2538,2
1986,163,1030,17
1987,188,1407,48
1988,185,1825,12
1989,221,1924,61
1990,213,852,31
1991,200,1288,4
1992,209,1596,43
1993,246,1348,6
1994,227,1595,22
1995,221,1277,6
1996,211,2057,292
1997,205,1326,2
1998,204,1381,29
1999,212,770,22
2000,190,1209,33
2001,201,1221,2638
2002,198,1195,79
2003,194,750,1
2004,182,613,4
2005,203,1127,50
2006,189,944,4
2007,214,835,60
2008,195,684,50
2009,166,814,2
2010,168,979,5
2011,165,557,14
2012,145,544,47
2013,193,329,
2014,200,1057,6
2015,190,609,9
2016,172,364,1
2017,159,106,35
2018,178,595,2
