"year","total","ground","crashes"
1919,15,,2
1920,4,,4
1921,0,,7
1922,24,,3
1923,11,,8
1924,0,,3
1925,3,,2
1926,11,,4
1927,3,,2
1928,25,,14
1929,58,1,21
1930,44,,18
1931,9,,16
1932,16,,10
1933,48,1,15
1934,75,,23
1935,128,11,33
1936,126,,37
1937,171,,39
1938,360,2,60
1939,150,1,43
1940,213,,67
1941,227,,61
1942,451,1,80
1943,383,,71
1944,404,,87
1945,344,7,77
1946,862,3,157
1947,1098,8,170
1948,1334,,194
1949,1156,11,159
1950,1124,8,129
1951,963,6,144
1952,793,17,109
1953,972,2,127
1954,725,1,117
1955,756,4,106
1956,861,2,113
1957,977,18,122
1958,1262,6,157
1959,1082,19,135
1960,1547,7,152
1961,1441,7,147
1962,1826,7,146
1963,1267,95,121
1964,1101,,142
1965,1288,2,145
1966,1559,109,141
1967,1429,29,164
1968,1459,7,189
1969,1793,106,289
1970,1607,12,282
1971,1535,,220
1972,2604,9,255
1973,2412,26,240
1974,2251,8,197
1975,1234,16,213
1976,1867,113,192
1977,1870,12,236
1978,1375,11,211
1979,1906,41,223
1980,1493,4,197
1981,1000,,193
1982,1246,13,181
1983,1470,31,195
1984,781,53,171
1985,2538,2,182
1986,1030,17,163
1987,1407,48,188
1988,1825,12,185
1989,1924,61,221
1990,852,31,213
1991,1288,4,200
1992,1596,43,209
1993,1348,6,246
1994,1595,22,227
1995,1277,6,221
1996,2057,292,211
1997,1326,2,205
1998,1381,29,204
1999,770,22,212
2000,1209,33,190
2001,1221,2638,201
2002,1195,79,198
2003,750,1,194
2004,613,4,182
2005,1127,50,203
2006,944,4,189
2007,835,60,214
2008,684,50,195
2009,814,2,166
2010,979,5,168
2011,557,14,165
2012,544,47,145
2013,329,,193
2014,1057,6,200
2015,609,9,190
2016,364,1,172
2017,106,35,159
2018,595,2,178
