year,crashes,total,ground
1919,2,15,
1920,4,4,
1921,7,0,
1922,3,24,
1923,8,11,
1924,3,0,
1925,2,3,
1926,4,11,
1927,2,3,
1928,14,25,
1929,26,61,1
1930,31,51,
1931,18,17,
1932,14,26,
1933,17,48,1
1934,25,75,
1935,34,139,11
1936,46,150,
1937,50,180,
1938,69,378,2
1939,62,188,1
1940,301,381,
1941,177,480,7
1942,336,1154,7
1943,737,2233,1
1944,1473,3177,6
1945,1406,2714,23
1946,366,1493,3
1947,280,1584,13
1948,288,1533,2
1949,236,1443,13
1950,256,1665,10
1951,280,1495,6
1952,230,1403,22
1953,235,1462,13
1954,229,1218,3
1955,198,1141,8
1956,198,1280,2
1957,218,1438,21
1958,228,1661,9
1959,206,1303,29
1960,213,1843,43
1961,218,1732,12
1962,230,2284,9
1963,180,1512,100
1964,227,1614,3
1965,248,1994,39
1966,222,1887,114
1967,276,1876,74
1968,301,2146,8
1969,386,2227,111
1970,346,2010,15
1971,277,1898,
1972,318,2968,34
1973,286,2631,26
1974,246,2452,8
1975,259,1578,16
1976,217,2085,113
1977,284,2207,12
1978,256,1650,29
1979,259,2042,41
1980,250,1921,11
1981,216,1270,
1982,217,1654,13
1983,234,1725,37
1984,205,958,53
1985,217,2731,2
1986,202,1441,17
1987,245,1779,51
1988,219,2128,19
1989,258,2217,63
1990,249,1174,31
1991,239,1826,6
1992,256,2007,64
1993,272,1525,14
1994,248,1719,45
1995,250,1628,6
1996,236,2318,292
1997,233,1563,47
1998,227,1554,29
1999,237,955,26
2000,214,1432,33
2001,223,1363,2644
2002,220,1266,82
2003,216,1106,24
2004,201,674,4
2005,217,1290,62
2006,223,1194,4
2007,222,851,60
2008,211,741,50
2009,201,1011,6
2010,185,1038,6
2011,182,699,14
2012,165,640,51
2013,204,355,
2014,220,1214,6
2015,215,811,29
2016,196,566,1
2017,176,281,35
2018,200,961,2
