"dep","dep_lat","dep_lng","dest","dest_lat","dest_lng","crash","crash_lat","crash_lng"
"Abingdon RAF Station (ABB/EGUD), United Kingdom","51.67384",-1.28589,"Abingdon RAF Station (ABB/EGUD), United Kingdom","51.67384",-1.28589,near Abingdon RAF Station (ABB) (   United Kingdom),"51.62159",-1.32005
"Labuan Airport (LBU/WBKL), Malaysia","5.28987","115.24055","Labuan Airport (LBU/WBKL), Malaysia","5.28987","115.24055","448 km (280 mls) N of Labuan, Malaysia [South China Sea] (   Pacific Ocean)","5.28987","115.24055"
"Boscombe Down RAF Station (EGDM), United Kingdom","50.7219",-1.83588,"Boscombe Down RAF Station (EGDM), United Kingdom","50.7219",-1.83588,"6,4 km (4 mls) N of Tangmere (   United Kingdom)","50.8539",-0.71639
"Mexico City International Airport (MEX/MMMX), Mexico","19.48027",-99.12526,"Chetumal Airport (CTM/MMCM), Mexico","18.54988",-88.26248,near Puebla Airport (   Mexico),"19.04386",-98.19756
"Filton Airport (FZO/EGTG), United Kingdom","51.50578",-2.57702,"Filton Airport (FZO/EGTG), United Kingdom","51.50578",-2.57702,Downend (   United Kingdom),"51.49336",-2.50293
"Athol-Silverwood Airport, ID, United States of America","47.90706",-116.71082,"Athol-Silverwood Airport, ID, United States of America","47.90706",-116.71082,"0,8 km (0.5 mls) from  Athol-Silverwood Airport, ID (   United States of America)","47.90706",-116.71082
"Ponce-Mercedita Airport (PSE/TJPS), Puerto Rico","18.01267",-66.56614,"Aguadilla-Borinquen Airport (BQN/TJBQ), Puerto Rico","18.46836",-67.15319,near Adjuntas (   Puerto Rico),"18.18115",-66.75236
"Lagos/Ikeja International Airport (LOS/DNMM), Nigeria","6.58024","3.32514","London-Stansted Airport (STN/EGSS), United Kingdom","51.88427","0.25718",London-Stansted Airport (STN) (   United Kingdom),"51.88427","0.25718"
"Bethel Airport, AK (BET/PABE), United States of America","60.93645",-164.6365,"Chevak Airport, AK (VAK/PAVA), United States of America","61.53009",-165.59965,"Bethel Airport, AK (BET) (   United States of America)","60.93645",-164.6365
"Grand Canyon-National Park Airport, AZ (GCN/KGCN), United States of America","35.96281",-112.13424,"Grand Canyon-National Park Airport, AZ (GCN/KGCN), United States of America","35.96281",-112.13424,"Grand Canyon National Park, AZ (   United States of America)","36.05695",-112.13678
"Corowa Airport, NSW (CWW/YCOR), Australia",-35.99729,"146.38828","Corowa Airport, NSW (CWW/YCOR), Australia",-35.99729,"146.38828","Corowa Airport, NSW (CWW) (   Australia)",-35.99729,"146.38828"
"Bethel Airport, AK (BET/PABE), United States of America","60.93645",-164.6365,"Chevak Airport, AK (VAK/PAVA), United States of America","61.53009",-165.59965,"Bethel Airport, AK (BET) (   United States of America)","60.93645",-164.6365
"Oshawa Municipal Airport, ON (YOO/CYOO), Canada","43.92642",-78.89747,"North Bay Airport, ON (YYB/CYYB), Canada","46.33659",-79.45584,"North Bay Airport, ON (YYB) (   Canada)","46.33659",-79.45584
"La Ronge Airport, SK (YVC/CYVC), Canada","55.1125",-105.29533,"La Ronge Airport, SK (YVC/CYVC), Canada","55.1125",-105.29533,"1,5 km (0.9 mls) NW of La Ronge Airport, SK (YVC) (   Canada)","55.1125",-105.29533
"Bethel Airport, AK (BET/PABE), United States of America","60.93645",-164.6365,"Bethel Airport, AK (BET/PABE), United States of America","60.93645",-164.6365,"ca 60 km SE of Bethel, AK (   United States of America)","60.79429",-161.76088
"Toulouse-Francazal Air Base (BA 101) (LFBF), France","43.01913","0.99794","Toulouse-Francazal Air Base (BA 101) (LFBF), France","43.01913","0.99794",near Suc-et-Sentenac (   France),"45.24803","3.83061"
"Folkingham-USAAF Station AAF-484, United Kingdom","52.88975",-0.40894,"Folkingham-USAAF Station AAF-484, United Kingdom","52.88975",-0.40894,near Oxford (   United Kingdom),"51.7563",-1.25951
"Tbilisi Airport (TBS/UGGG), Georgia","41.70907","44.79611","Tbilisi Airport (TBS/UGGG), Georgia","41.70907","44.79611","4,5 km (2.8 mls) NW of Tbilisi Airport (TBS) (   Georgia)","41.70907","44.79611"
"Anchorage International Airport, AK (ANC/PANC), United States of America","61.17391",-149.94619,"Anchorage International Airport, AK (ANC/PANC), United States of America","61.17391",-149.94619,"near Anchorage, AK (   United States of America)","61.21753",-149.85826
"Guwahati-Borjhar Airport (GAU/VEGT), India","26.1863","91.75053","Bagdogra Airport (IXB/VEBD), India","26.69974","88.3197",near Hashimara (   India),"26.0002","92.83472"
"Twin Falls City County Airport, ID (TWF/KTWF), United States of America","42.48592",-114.48143,"Twin Falls City County Airport, ID (TWF/KTWF), United States of America","42.48592",-114.48143,"Buhl, ID (   United States of America)","42.59863",-114.76019
"Bukhara Airport (BHK/UTSB), Uzbekistan","39.77322","64.434","Samarkand Airport (SKD/UTSS), Uzbekistan","39.64973","66.96385",Bukhara Airport (BHK) (   Uzbekistan),"39.77322","64.434"
"Conroe-Montgomery County Airport, TX (CXO/KCXO), United States of America","30.35196",-95.42621,"Conroe-Montgomery County Airport, TX (CXO/KCXO), United States of America","30.35196",-95.42621,"Cut and Shoot, TX (   United States of America)","30.33309",-95.35067
"Flores-Santa Elena Airport (FRS/MGFL), Guatemala","15.98438",-90.43916,"Uaxactun Airport (UAX), Guatemala","17.13438",-89.68358,"2 km (1.3 mls) from  El Caoba (   Guatemala)","16.0233",-90.18202
