"id","name","startdate","enddate","tags","lat","lng"
"1027756","""Bombhead""","2018-03-03T00:00:00-08:00","2018-06-17T00:00:00-07:00","[""Galleries""]","49.2830077",-123.1208179
"1028066","""Local Talk Vancouver: Why Become an Entrepreneur?""","2018-02-27T18:30:00-08:00","2018-02-27T20:30:00-08:00","[""Forums & Talks"", ""Other""]","49.2673109",-123.0694547
"992711","""Tuning In with William Eddins""","2018-05-02T10:30:00-07:00","2018-05-02T11:30:00-07:00","[""Forums & Talks""]","49.2747646",-123.1445643
"1027621","""Grand Opening of the New REP/Thursday""","2018-02-15T00:00:00-08:00","2018-02-15T00:00:00-08:00","[""Nightlife""]","49.2794743",-123.1221216
"1027961","""All You Can Eat Laundry""","2018-02-10T22:00:00-08:00","2018-02-10T22:00:00-08:00","[""Comedy""]","49.2481131",-123.1016289
"1033051","""Skillshare""","2018-03-01T09:00:00-08:00","2018-03-01T18:00:00-08:00","[""Other""]","49.28451159999999",-123.1116016
"1014531","""Mary and the Witch&#039;s Flower""","2018-01-19T17:40:00-08:00","2018-01-28T15:00:00-08:00","[""Film""]","49.277062",-123.124918
"1004956","""The Basics of Kundalini Yoga""","2018-01-23T06:00:00-08:00","2018-01-28T17:30:00-08:00","[""Other""]","49.264087",-123.1500423
"1032216","""BLOOM: wine, dance, comedy""","2018-02-20T17:30:00-08:00","2018-02-27T17:30:00-08:00","[""Dance"", ""Comedy""]","49.2830458",-123.133915
"1029496","""Rise Above Plastics""","2018-02-20T19:30:00-08:00","2018-02-20T19:30:00-08:00","[""Activism"", ""Museums""]","49.3007961",-123.1309293
"1029186","""Place des Arts: April Exhibitions Opening Reception""","2018-04-06T19:00:00-07:00","2018-04-06T21:00:00-07:00","[""Galleries"", ""Fundraisers & Charity""]","49.2388004",-122.8609699
"1027816","""Chelsea Hotel: The Songs of Leonard Cohen""","2018-03-17T00:00:00-07:00","2018-04-21T00:00:00-07:00","[]","49.2820937",-123.0979146
"1034546","""South Asian Fashion Week""","2018-03-02T00:00:00-08:00","2018-03-04T00:00:00-08:00","[""Other""]","49.227367",-122.8370344
"1028811","""Black Suit Devil""","2018-03-30T21:00:00-07:00","2018-03-30T21:00:00-07:00","[""Performing Arts"", ""Nightlife""]","49.209577",-123.1400906
"1027841","""Development for Google Cardboard Workshop""","2018-02-07T16:00:00-08:00","2018-02-07T18:00:00-08:00","[""Other""]","49.2603054",-123.250801
"1032806","""The Pat Chessell Band""","2018-02-15T19:00:00-08:00","2018-02-15T19:00:00-08:00","[""Nightlife"", ""Concerts""]","49.2903197",-123.1174984
"1028371","""Jazz Vespers on the North Shore""","2018-02-25T16:00:00-08:00","2018-02-25T17:00:00-08:00","[""Concerts"", ""Performing Arts""]","49.31728409999999",-123.069158
"1028716","""The Bronx""","2018-04-02T19:00:00-07:00","2018-04-02T19:00:00-07:00","[""Concerts"", ""Nightlife""]","49.2809834",-123.0983592
"1018401","""Maria Ho Quartet""","2018-02-04T20:00:00-08:00","2018-02-04T20:00:00-08:00","[""Food & Drink"", ""Concerts""]","49.2781484",-123.1134225
"1030266","""How to Find, Hire, and Work with a Freelance Editor""","2018-02-07T19:00:00-08:00","2018-02-27T21:15:00-08:00","[""Literary/Books"", ""Forums & Talks""]","49.2803589",-123.1227818
"994706","""Alex Cameron""","2018-02-27T21:00:00-08:00","2018-02-27T21:00:00-08:00","[""Concerts""]","49.281962",-123.0998865
"1032746","""Forget About Tomorrow""","2018-03-01T00:00:00-08:00","2018-03-25T00:00:00-07:00","[""Theatre""]","49.27011419999999",-123.1086346
"1028731","""Enhancing Your Psychological Health and Wellness - A Free Talk""","2018-02-22T19:00:00-08:00","2018-02-22T20:30:00-08:00","[""Forums & Talks""]","49.2733084",-123.1217472
"1029241","""Wakenaam""","2018-02-11T20:00:00-08:00","2018-02-11T23:00:00-08:00","[""Concerts"", ""Nightlife""]","49.2660509",-123.0694337
"1027891","""La La Land""","2018-02-14T15:30:00-08:00","2018-02-14T15:30:00-08:00","[""Film""]","49.277062",-123.124918
"1030036","""Family Day at Museum of Vancouver""","2018-02-12T10:00:00-08:00","2018-02-12T17:00:00-08:00","[""Kids' Stuff"", ""Museums""]","49.27638349999999",-123.1445046
"1028631","""Family Day Olympic Experience""","2018-02-12T10:00:00-08:00","2018-02-12T16:00:00-08:00","[""Kids' Stuff"", ""Sports""]","49.1745134",-123.151974
"1009476","""The Comic Strippers""","2018-01-27T20:00:00-08:00","2018-01-27T20:00:00-08:00","[""Comedy"", ""Theatre""]","49.219157",-122.5984586
"1027916","""Squat City: An Informal History of Squatters in Vancouver""","2018-03-20T19:30:00-07:00","2018-03-20T21:00:00-07:00","[""Forums & Talks""]","49.257071",-123.1368164
"1014316","""21st Century Flea Market""","2018-01-21T10:00:00-08:00","2018-11-18T15:00:00-08:00","[""Markets"", ""Other""]","49.2554686",-123.0683087
"1030676","""Ana Bon-Bon&#039;s Sundays for Sinners!""","2018-02-18T16:30:00-08:00","2018-02-18T19:30:00-08:00","[""Concerts"", ""Performing Arts""]","49.2849583",-123.0652398
"1003991","""Sleeping With Sirens""","2018-02-06T19:30:00-08:00","2018-02-06T19:30:00-08:00","[""Concerts""]","49.2798086",-123.1216378
"1008631","""Hopwired Festival""","2018-02-24T13:00:00-08:00","2018-02-24T17:00:00-08:00","[""Food & Drink"", ""Festivals""]","49.2554686",-123.0683087
"1051161","""Big Elf Run""","2018-03-29T00:00:00-07:00","2018-03-29T00:00:00-07:00","[""Sports""]","49.2827291",-123.1207375
"1022541","""Coldest Night of the Year""","2018-02-24T16:00:00-08:00","2018-02-24T20:00:00-08:00","[""Fundraisers & Charity""]","49.2810139",-123.0971585
"1027776","""Sunday Morning at Punjabi Market""","2018-02-25T09:30:00-08:00","2018-02-25T12:00:00-08:00","[""Forums & Talks"", ""Food & Drink""]","49.225123",-123.1013989
"1030721","""A Masked Affair""","2018-02-17T19:30:00-08:00","2018-02-17T19:30:00-08:00","[""Fundraisers & Charity""]","49.26474899999999",-123.1371089
"1027936","""Vancouver Improv Fight Club: Valentine&#039;s Eve Destruction!""","2018-02-13T20:00:00-08:00","2018-02-13T21:30:00-08:00","[""Comedy"", ""Performing Arts""]","49.2660509",-123.0694337
"1029431","""Building Peace and Well-Being Through Education""","2018-02-21T19:00:00-08:00","2018-02-21T21:00:00-08:00","[""Forums & Talks""]","49.284337",-123.1129012
"1028271","""Marketing for Artists with Annie Briard""","2018-03-29T10:00:00-07:00","2018-03-29T12:00:00-07:00","[""Forums & Talks"", ""Galleries""]","49.327049",-123.154809
"1030286","""Lunar New Year at the Market""","2018-02-17T00:00:00-08:00","2018-02-17T00:00:00-08:00","[""Other""]","49.310644",-123.0815602
"1028871","""A Conversation with Abdullah Ibrahim""","2018-02-19T19:30:00-08:00","2018-02-19T19:30:00-08:00","[""Performing Arts""]","49.2633438",-123.0808706
"1029756","""Stephen Malkmus and the Jicks""","2018-08-03T21:00:00-07:00","2018-08-03T21:00:00-07:00","[""Concerts""]","49.2809834",-123.0983592
"1028816","""Ecstatic Waves: Four Scene Waves""","2018-02-11T19:30:00-08:00","2018-02-11T19:30:00-08:00","[""Concerts""]","49.2829632",-123.1096299
"1029396","""Threshold Exhibition""","2018-02-16T18:00:00-08:00","2018-02-16T22:00:00-08:00","[""Fundraisers & Charity"", ""Galleries""]","49.2846993",-123.0976504
"1029981","""Bluedog Guitars Open Mic""","2018-02-18T14:00:00-08:00","2018-02-18T18:00:00-08:00","[""Other""]","49.30098",-123.0293976
