"count","name"
283,Vancity Theatre
207,WISE Hall
204,The Cinematheque
187,Railway Stage and Beer Café
136,Rickshaw Theatre
133,Little Mountain Gallery
120,Commodore Ballroom
113,Fox Cabaret
103,The Art of Loving
101,Yuk Yuk's Comedy Club
97,Guilt & Co.
79,Café Deux Soleils
76,Roundhouse Community Arts & Recreation Centre
75,Contemporary Art Gallery
74,Vancouver Public Library Central Branch
74,The Imperial
73,Biltmore Cabaret
70,Havana Theatre
70,Rio Theatre
64,St. James Hall
63,Ferry Building Gallery
62,Tyrant Studios
62,The Comedy MIX
